date,gdp_million
01/01/1999,255773
01/03/1999,258286
01/06/1999,261502
01/09/1999,267687
01/01/2000,272133
01/03/2000,273951
01/06/2000,276266
01/09/2000,278402
01/01/2001,282928
01/03/2001,286649
01/06/2001,288266
01/09/2001,288292
01/01/2002,292432
01/03/2002,295747
01/06/2002,299185
01/09/2002,304075
01/01/2003,307455
01/03/2003,313102
01/06/2003,317491
01/09/2003,320286
01/01/2004,322790
01/03/2004,329664
01/06/2004,331528
01/09/2004,338655
01/01/2005,341391
01/03/2005,348632
01/06/2005,351940
01/09/2005,356786
01/01/2006,361268
01/03/2006,367040
01/06/2006,370883
01/09/2006,372847
01/01/2007,377049
01/03/2007,386313
01/06/2007,389228
01/09/2007,392047
01/01/2008,397548
01/03/2008,400881
01/06/2008,399970
01/09/2008,395201
01/01/2009,386739
01/03/2009,386564
01/06/2009,388624
01/09/2009,386875
01/01/2010,396113
01/03/2010,401311
01/06/2010,404199
01/09/2010,406930
01/01/2011,414732
01/03/2011,412366
01/06/2011,416049
01/09/2011,419443
01/01/2012,424704
01/03/2012,425007
01/06/2012,430937
01/09/2012,433067
01/01/2013,438103
01/03/2013,442283
01/06/2013,448727
01/09/2013,452248
01/01/2014,457992
01/03/2014,461616
01/06/2014,470454
01/09/2014,472452
01/01/2015,474738
01/03/2015,476582
01/06/2015,479885
01/09/2015,485246
01/01/2016,489730
01/03/2016,493941
01/06/2016,500650
01/09/2016,507324
01/01/2017,513926
01/03/2017,517565
01/06/2017,521219
01/09/2017,529772
01/01/2018,531266
01/03/2018,535608
01/06/2018,540123
01/09/2018,545307
01/01/2019,549394
01/03/2019,555948
01/06/2019,562790
01/09/2019,565789
01/01/2020,556179
01/03/2020,475747
01/06/2020,533668
01/09/2020,538694
01/01/2021,538012
01/03/2021,567887
01/06/2021,581506
01/09/2021,596674
01/01/2022,608329
01/03/2022,621272
01/06/2022,630575
01/09/2022,645805
